config_id,airframe_id,airframe,purchase_type,airframe_mass_g,prop_in,wheelbase_mm,battery,chemistry,cells_s,capacity_mah,pack_voltage_v,usable_dod,battery_mass_g,battery_energy_wh,usable_energy_wh,thermal_id,thermal_name,thermal_mass_g,thermal_power_w,sbc_id,sbc_name,sbc_mass_g,sbc_power_w,dvr_id,dvr_name,dvr_mass_g,dvr_power_w,vtx_id,vtx_name,vtx_source,vtx_mass_g,vtx_power_w,fpv_id,fpv_name,fpv_source,fpv_mass_g,fpv_power_w,gps_id,gps_name,gps_source,gps_mass_g,gps_power_w,rx_id,rx_name,rx_source,rx_mass_g,rx_power_w,added_payload_mass_g,total_payload_power_w,all_up_mass_g,hover_power_w,cruise_power_w,headwind_power_w,max_flight_time_hover_min,flight_time_cruise_min,flight_time_headwind_min,hover_throttle_pct,meets_r6_30min,meets_r8_60min,flyable,sbc_dims_mm,deck_lxw_mm,deck_margin_mm,battery_mount,battery_lwh_mm,payload_capacity_g,payload_weight_g,sbc_fits_deck,sbc_fit_status,payload_weight_ok,physical_fit_note,airframe_cost_usd,battery_cost_usd,thermal_cost_usd,sbc_cost_usd,dvr_cost_usd,vtx_cost_usd,fpv_cost_usd,gps_cost_usd,rx_cost_usd,drone_cost_usd,video_format,gcs_vrx_name,gcs_vrx_cost,gcs_cost_usd,total_system_cost_usd,endurance_per_1000usd,meets_budget_r4
C000001,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Lumenier NAV 10000mAh 6S 21700 Li-Ion,Li-ion,6,10000.0,22.2,0.85,975.0,222.0,188.7,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1805.7,242.8,236.7,198.2,46.6,47.8,57.1,15.4,True,False,True,90x62,110x70,8.0,top,125x40x70,5145.0,1076.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,149.99,650.0,126.0,0.0,0.0,0.0,0.0,14.99,1326.97,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1502.42,31.04,True
C000002,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Upgrade Energy GREEN V1 6S2P 10Ah Samsung 50S,Li-ion,6,10000.0,21.6,0.85,900.0,216.0,183.6,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1730.7,228.9,222.9,185.7,48.1,49.4,59.3,14.8,True,False,True,90x62,110x70,8.0,top,125x40x70,5145.0,1001.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,269.99,650.0,126.0,0.0,0.0,0.0,0.0,14.99,1446.97,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1622.42,29.67,True
C000003,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Upgrade Energy RED V3 6S2P 10Ah Molicel P50B,Li-ion,6,10000.0,21.6,0.85,868.0,216.0,183.6,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1698.7,223.0,217.1,180.5,49.4,50.7,61.0,14.5,True,False,True,90x62,110x70,8.0,top,125x40x70,5145.0,969.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,252.0,650.0,126.0,0.0,0.0,0.0,0.0,14.99,1428.98,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1604.43,30.79,True
C000004,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,GNB 8000mAh 6S2P Samsung 21700 40T,Li-ion,6,8000.0,22.2,0.85,904.0,177.6,151.0,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1734.7,229.6,223.6,186.4,39.4,40.5,48.6,14.8,True,False,True,90x62,110x70,8.0,top,125x40x70,5145.0,1005.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,135.99,650.0,126.0,0.0,0.0,0.0,0.0,14.99,1312.97,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1488.42,26.5,True
C000005,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,iFlight Fullsend 6S 8000mAh EVE INR21700-40PL,Li-ion,6,8000.0,22.2,0.85,840.0,177.6,151.0,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1670.7,217.9,212.1,176.0,41.6,42.7,51.5,14.2,True,False,True,90x62,110x70,8.0,top,125x40x70,5145.0,941.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,122.99,650.0,126.0,0.0,0.0,0.0,0.0,14.99,1299.97,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1475.42,28.17,True
C000006,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Upgrade Energy GREEN V2 6S2P 8Ah Amprius SA10,Li-ion,6,8000.0,21.6,0.85,617.0,172.8,146.9,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1447.7,179.1,173.6,141.7,49.2,50.8,62.2,12.3,True,False,True,90x62,110x70,8.0,top,110x20x65,5145.0,718.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,194.0,650.0,126.0,0.0,0.0,0.0,0.0,14.99,1370.98,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1546.43,31.83,True
C000007,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Lumenier NAV 12000mAh 6S 21700 XT90,Li-ion,6,12000.0,22.2,0.85,1402.0,266.4,226.4,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,2232.7,327.5,320.7,275.4,41.5,42.4,49.3,19.0,True,False,True,90x62,110x70,8.0,top,125x65x70,5145.0,1503.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,189.99,650.0,126.0,0.0,0.0,0.0,0.0,14.99,1366.97,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1542.42,26.9,True
C000008,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Lumenier NAV 12000mAh 6S 21700 Amprius,Li-ion,6,12000.0,22.2,0.85,920.0,266.4,226.4,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1750.7,232.6,226.5,189.0,58.4,60.0,71.9,14.9,True,False,True,90x62,110x70,8.0,top,125x40x70,5145.0,1021.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,321.49,650.0,126.0,0.0,0.0,0.0,0.0,14.99,1498.47,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1673.92,34.9,True
C000009,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Upgrade Energy GREEN V2 6S3P 12Ah Amprius SA10,Li-ion,6,12000.0,21.6,0.85,919.0,259.2,220.3,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1749.7,232.4,226.4,188.9,56.9,58.4,70.0,14.9,True,False,True,90x62,110x70,8.0,top,110x35x65,5145.0,1020.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,275.0,650.0,126.0,0.0,0.0,0.0,0.0,14.99,1451.98,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1627.43,34.96,True
C000010,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Pyrodrone Hyperjuice 6S2P 6000mAh Sony VTC6,Li-ion,6,6000.0,22.2,0.85,590.0,133.2,113.2,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1420.7,174.5,169.2,137.7,38.9,40.2,49.3,12.1,True,False,True,90x62,110x70,8.0,top,110x35x65,5145.0,691.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,172.99,650.0,126.0,0.0,0.0,0.0,0.0,14.99,1349.97,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1525.42,25.52,True
C000011,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,iFlight Fullsend 6S2P 6000mAh Samsung 30Q,Li-ion,6,6000.0,22.2,0.85,608.0,133.2,113.2,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1438.7,177.5,172.1,140.3,38.3,39.5,48.4,12.3,True,False,True,90x62,110x70,8.0,top,110x35x65,5145.0,709.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,84.47,650.0,126.0,0.0,0.0,0.0,0.0,14.99,1261.45,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1436.9,26.63,True
C000012,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Lumenier NAV 6000mAh 6S 18650,Li-ion,6,6000.0,22.2,0.85,635.0,133.2,113.2,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1465.7,182.1,176.6,144.3,37.3,38.5,47.1,12.5,True,False,True,90x62,110x70,8.0,top,110x35x65,5145.0,736.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,188.99,650.0,126.0,0.0,0.0,0.0,0.0,14.99,1365.97,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1541.42,24.2,True
C000013,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Lumenier NAV 5000mAh 6S 21700,Li-ion,6,5000.0,22.2,0.85,499.0,111.0,94.3,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1329.7,159.6,154.4,124.8,35.5,36.7,45.3,11.3,True,False,True,90x62,110x70,8.0,top,125x20x70,5145.0,600.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,95.99,650.0,126.0,0.0,0.0,0.0,0.0,14.99,1272.97,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1448.42,24.48,True
C000014,AF3a,iFlight Chimera9 ECO,PNP,729.0,9.0,405.0,Upgrade Energy RED V3 6S1P 5Ah Molicel P50B,Li-ion,6,5000.0,21.6,0.85,432.0,108.0,91.8,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,included,bundled with airframe,included,0.0,0.25,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,101.7,16.85,1262.7,149.0,143.9,115.7,37.0,38.3,47.6,10.8,True,False,True,90x62,110x70,8.0,top,125x20x70,5145.0,533.7,True,fits,True,fits (SBC on a raised tier; battery on deck) — 8 mm spare,385.99,119.0,650.0,126.0,0.0,0.0,0.0,0.0,14.99,1295.98,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1471.43,25.13,True
